"COU","Country","SOURCE","Source","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MEX","Mexico","TOTAL_ABSTRACT","Total freshwater","ELEC_COOL","Production of electricity (cooling only)","2016","2016",,,"0","Units",,,4149.3208,,
"MEX","Mexico","TOTAL_ABSTRACT","Total freshwater","ELEC_COOL","Production of electricity (cooling only)","2017","2017",,,"0","Units",,,4147.14014,,
"SVK","Slovak Republic","TOTAL_ABSTRACT","Total freshwater","ELEC_COOL","Production of electricity (cooling only)","1970","1970",,,"0","Units",,,383,,
"GRC","Greece","GROUND","Fresh ground water","INDUSTRY","Manufacturing industry","2011","2011","M3","Cubic metres","6","Millions",,,124.4,,
"GRC","Greece","GROUND","Fresh ground water","INDUSTRY","Manufacturing industry","2012","2012","M3","Cubic metres","6","Millions",,,124.4,,
"GRC","Greece","GROUND","Fresh ground water","INDUSTRY","Manufacturing industry","2013","2013","M3","Cubic metres","6","Millions",,,124.4,,
"GRC","Greece","GROUND","Fresh ground water","INDUSTRY","Manufacturing industry","2014","2014","M3","Cubic metres","6","Millions",,,124.4,,
"GRC","Greece","GROUND","Fresh ground water","INDUSTRY","Manufacturing industry","2015","2015","M3","Cubic metres","6","Millions",,,124.4,,
"GRC","Greece","GROUND","Fresh ground water","INDUSTRY","Manufacturing industry","2016","2016","M3","Cubic metres","6","Millions",,,156.236,,
"GRC","Greece","GROUND","Fresh ground water","INDUSTRY","Manufacturing industry","2017","2017","M3","Cubic metres","6","Millions",,,156.236,,
"GRC","Greece","GROUND","Fresh ground water","INDUSTRY","Manufacturing industry","2018","2018","M3","Cubic metres","6","Millions",,,156.236,,
"ITA","Italy","TOTAL_ABSTRACT","Total freshwater","ELEC_COOL","Production of electricity (cooling only)","1980","1980",,,"0","Units",,,7025,,
"CZE","Czech Republic","TOTAL_ABSTRACT","Total freshwater","COOL_IND","Manufacturing cooling","2010","2010",,,"0","Units",,,54.3,,
"CZE","Czech Republic","TOTAL_ABSTRACT","Total freshwater","COOL_IND","Manufacturing cooling","2011","2011",,,"0","Units",,,49.3,,
"CZE","Czech Republic","TOTAL_ABSTRACT","Total freshwater","COOL_IND","Manufacturing cooling","2012","2012",,,"0","Units",,,49.8,,
"CZE","Czech Republic","TOTAL_ABSTRACT","Total freshwater","COOL_IND","Manufacturing cooling","2013","2013",,,"0","Units",,,33.5,"E","Estimated value"
"CZE","Czech Republic","TOTAL_ABSTRACT","Total freshwater","COOL_IND","Manufacturing cooling","2014","2014",,,"0","Units",,,43.2,,
